constituent_id,type,organization_name,organization_type,first_name,last_name,gender,creation_date,date_of_birth,region
139,Organization,"Lewis, Duncan and Williams",Small Business,,,,01/04/2025,,
140,Organization,Johnson LLC,Government,,,,21/07/2021,,
141,Organization,Stevenson Inc,Small Business,,,,17/07/2023,,
142,Organization,"Marsh, Williams and Massey",Government,,,,20/09/2023,,
143,Organization,Wilkins-Arnold,Small Business,,,,25/05/2021,,
144,Organization,Reed-Orr,Government,,,,26/10/2022,,
145,Organization,"Mcintyre, Snyder and Lucas",Small Business,,,,27/10/2022,,
146,Organization,Roach PLC,Small Business,,,,12/04/2022,,
147,Organization,Lara-Brown,Government,,,,06/05/2025,,
148,Organization,"Brown, Drake and Smith",Government,,,,10/07/2021,,
149,Organization,Bowman Ltd,Corporation,,,,18/06/2022,,
150,Organization,"Fuller, Leach and Welch",Small Business,,,,20/01/2025,,
151,Organization,Henry PLC,Government,,,,26/04/2021,,
152,Organization,Cruz LLC,Corporation,,,,08/01/2021,,
153,Organization,Jenkins-Hernandez,Foundation,,,,08/06/2022,,
154,Organization,Collins LLC,Small Business,,,,15/02/2023,,
155,Organization,Johnson PLC,Foundation,,,,14/07/2021,,
156,Organization,Rivers-Chavez,Corporation,,,,03/11/2023,,
157,Organization,Melendez-Thompson,Corporation,,,,15/03/2021,,
158,Organization,Peterson Ltd,Corporation,,,,26/12/2021,,
159,Organization,Smith-Roberts,Corporation,,,,04/04/2025,,
160,Organization,Mitchell Inc,Foundation,,,,31/08/2024,,
161,Organization,"Johnson, Smith and Page",Government,,,,21/01/2021,,
162,Organization,Gardner-Armstrong,Government,,,,01/11/2021,,
163,Organization,"Duran, Baxter and Phillips",Foundation,,,,14/04/2022,,
164,Organization,Edwards LLC,Small Business,,,,05/03/2021,,
165,Organization,Lewis-King,Small Business,,,,18/11/2022,,
166,Organization,Brown-Goodman,Foundation,,,,18/01/2021,,
167,Organization,"Thompson, Mcpherson and Elliott",Small Business,,,,18/02/2022,,
168,Organization,"Ferrell, Rodriguez and Jackson",Small Business,,,,21/11/2022,,
169,Organization,Mendoza-Shannon,Government,,,,16/12/2023,,
170,Organization,Cross PLC,Corporation,,,,06/06/2025,,
171,Organization,Patel PLC,Small Business,,,,21/03/2024,,
172,Organization,"Rose, Ward and Sanchez",Small Business,,,,13/02/2024,,
173,Organization,Rojas and Sons,Corporation,,,,31/05/2022,,
174,Organization,"Melendez, Hanson and Grant",Government,,,,05/02/2021,,
175,Organization,"Snyder, Thomas and Browning",Foundation,,,,18/02/2024,,
176,Organization,"Smith, Taylor and Francis",Foundation,,,,22/10/2024,,
177,Organization,"Graham, Dennis and Fields",Corporation,,,,24/11/2024,,
178,Organization,"Dunn, Logan and Moody",Foundation,,,,15/04/2022,,
179,Organization,"Bradshaw, Castaneda and Swanson",Small Business,,,,03/10/2023,,
180,Organization,Clark and Sons,Foundation,,,,04/05/2023,,
181,Organization,Smith Inc,Small Business,,,,17/02/2024,,
182,Organization,Ochoa LLC,Government,,,,01/07/2021,,
183,Organization,Harris Group,Foundation,,,,02/11/2024,,
184,Organization,"Sanchez, Wilson and Cook",Corporation,,,,02/08/2022,,
185,Organization,Lynch PLC,Foundation,,,,23/12/2021,,
186,Organization,Garcia PLC,Corporation,,,,05/03/2023,,
187,Organization,James-Robertson,Corporation,,,,08/04/2025,,
188,Organization,Jackson-Shelton,Small Business,,,,11/04/2025,,
189,Organization,"Sherman, Moore and Carter",Government,,,,21/03/2025,,
190,Organization,Bailey-Davis,Small Business,,,,19/08/2021,,
191,Organization,Higgins Inc,Corporation,,,,01/03/2024,,
192,Organization,Gardner PLC,Foundation,,,,29/10/2021,,
193,Organization,"Hayes, Sutton and Arnold",Corporation,,,,28/12/2022,,
194,Organization,Moon Ltd,Government,,,,12/06/2022,,
195,Organization,Castaneda Group,Foundation,,,,22/03/2023,,
196,Organization,Christian-Whitehead,Foundation,,,,25/01/2021,,
197,Organization,"White, Marquez and Kim",Small Business,,,,10/01/2025,,
198,Organization,Contreras-Clark,Small Business,,,,15/04/2024,,
199,Organization,Ali-Cook,Foundation,,,,15/05/2022,,
200,Organization,"Jackson, Dawson and Martinez",Small Business,,,,31/03/2025,,
201,Organization,Wilson-Garcia,Corporation,,,,17/03/2023,,
202,Organization,Fowler-Padilla,Corporation,,,,13/06/2024,,
203,Organization,Garcia-Novak,Corporation,,,,06/12/2022,,
204,Organization,"Pruitt, Gibson and Thornton",Foundation,,,,20/11/2023,,
205,Organization,Brown LLC,Government,,,,07/10/2023,,
206,Organization,Ortega-Morrison,Corporation,,,,26/10/2022,,
207,Organization,"Hudson, Stewart and Simmons",Foundation,,,,04/06/2023,,
208,Organization,Jenkins-Hines,Small Business,,,,10/12/2024,,
209,Organization,Miller LLC,Foundation,,,,24/04/2023,,
210,Organization,Castro Group,Government,,,,22/07/2024,,
211,Organization,Medina PLC,Government,,,,02/10/2024,,
212,Organization,Parker Group,Government,,,,16/03/2023,,
213,Organization,Brown Group,Corporation,,,,07/07/2023,,
214,Organization,Adams LLC,Small Business,,,,28/03/2022,,
215,Organization,"Clark, Pineda and Massey",Corporation,,,,16/04/2022,,
216,Organization,Adams-Thompson,Government,,,,14/08/2021,,
217,Organization,"Espinoza, Lozano and Allen",Small Business,,,,18/08/2021,,
218,Organization,Jackson and Sons,Corporation,,,,10/04/2023,,
219,Organization,"Carter, Boone and Cox",Small Business,,,,02/08/2024,,
220,Organization,Padilla Inc,Government,,,,01/04/2023,,
221,Organization,Williams LLC,Government,,,,13/06/2024,,
222,Organization,Lopez-Rodriguez,Corporation,,,,28/04/2022,,
223,Organization,Meyer-Russell,Small Business,,,,19/04/2021,,
224,Organization,Williams-Clarke,Small Business,,,,26/01/2021,,
225,Organization,Gibbs Ltd,Government,,,,16/06/2022,,
226,Organization,Perry Ltd,Small Business,,,,23/06/2025,,
227,Organization,Huynh-Robertson,Foundation,,,,21/03/2025,,
228,Organization,Neal-Rogers,Government,,,,07/03/2025,,
229,Organization,Olson and Sons,Corporation,,,,04/11/2024,,
230,Organization,Richards-Medina,Corporation,,,,26/10/2022,,
231,Organization,Short PLC,Government,,,,09/03/2021,,
232,Organization,"Gonzalez, Johnson and Moore",Corporation,,,,04/03/2024,,
233,Organization,Taylor-Smith,Corporation,,,,11/04/2023,,
234,Organization,"Wilson, Phillips and Wells",Foundation,,,,20/06/2024,,
235,Organization,Keller-Poole,Corporation,,,,30/05/2024,,
236,Organization,Shannon-Ramirez,Corporation,,,,30/04/2023,,
237,Organization,"Gibson, Alvarado and Williams",Small Business,,,,28/11/2024,,
238,Organization,Pittman-Smith,Foundation,,,,19/07/2024,,
239,Organization,"Johnson, Castillo and Butler",Corporation,,,,27/06/2022,,
240,Organization,"Jenkins, Mercado and Acosta",Government,,,,25/10/2022,,
241,Organization,Burton-Rodriguez,Government,,,,25/12/2021,,
242,Organization,"Schmidt, Barajas and Robinson",Government,,,,07/02/2025,,
243,Organization,Johnson-Pham,Corporation,,,,19/01/2025,,
244,Organization,Stout-Perkins,Government,,,,09/12/2021,,
245,Organization,Saunders Ltd,Foundation,,,,11/04/2025,,
246,Organization,Khan Inc,Foundation,,,,17/06/2023,,
247,Organization,Lewis Ltd,Small Business,,,,10/06/2025,,
248,Organization,Newman Ltd,Foundation,,,,27/03/2024,,
249,Organization,Wilkerson-Marshall,Government,,,,06/02/2024,,
250,Organization,Bush Ltd,Foundation,,,,21/01/2021,,
251,Organization,Rogers-Charles,Government,,,,06/09/2024,,
252,Organization,Sims Ltd,Foundation,,,,25/01/2022,,
253,Organization,Shaw and Sons,Foundation,,,,04/12/2021,,
254,Organization,Walsh LLC,Foundation,,,,16/02/2022,,
255,Organization,"Mcneil, Barnes and Wheeler",Foundation,,,,30/03/2023,,
256,Organization,Patel Group,Government,,,,30/03/2022,,
257,Organization,"Delgado, Cohen and Morrison",Corporation,,,,02/04/2023,,
258,Organization,Kerr Ltd,Foundation,,,,06/12/2021,,
259,Organization,Phillips Ltd,Corporation,,,,20/02/2023,,
260,Organization,"Payne, Moreno and Rodriguez",Corporation,,,,05/12/2023,,
261,Organization,Rowe-Dawson,Corporation,,,,05/11/2021,,
262,Organization,"Price, Flynn and Peterson",Corporation,,,,16/05/2024,,
263,Organization,Johnson-Hall,Small Business,,,,27/01/2024,,
264,Organization,Keller-Harvey,Foundation,,,,17/02/2022,,
265,Organization,David-Mitchell,Foundation,,,,27/04/2021,,
266,Organization,Williams Ltd,Small Business,,,,16/04/2025,,
267,Organization,Chen-Guzman,Foundation,,,,20/11/2022,,
268,Organization,Lane-Wolf,Government,,,,06/08/2022,,
269,Organization,"Ray, Ramirez and Chapman",Small Business,,,,19/12/2023,,
270,Organization,Webb and Sons,Government,,,,03/09/2021,,
271,Organization,Ferguson-Bryant,Government,,,,25/12/2021,,
272,Organization,Scott-Carrillo,Foundation,,,,25/03/2025,,
273,Organization,"Daniels, Kelly and Compton",Government,,,,06/02/2025,,
274,Organization,Reynolds Inc,Corporation,,,,12/10/2022,,
275,Organization,Little LLC,Corporation,,,,11/09/2021,,
276,Organization,Adams LLC,Small Business,,,,25/08/2024,,
277,Organization,Young-Conway,Foundation,,,,11/01/2021,,
278,Organization,"Thomas, Waters and Johnson",Government,,,,02/12/2023,,
279,Organization,Martin LLC,Government,,,,11/04/2023,,
280,Organization,"Hall, Hernandez and Pruitt",Corporation,,,,19/08/2021,,
281,Organization,Johnson Group,Government,,,,21/02/2022,,
282,Organization,Moran-Jimenez,Government,,,,13/11/2024,,
283,Organization,"Woods, Gregory and Odom",Corporation,,,,30/09/2024,,
284,Organization,Carr Ltd,Small Business,,,,17/12/2021,,
285,Organization,Webster-Craig,Foundation,,,,26/04/2023,,
286,Organization,Donaldson Group,Government,,,,08/04/2022,,
287,Organization,"Crawford, Smith and Pacheco",Small Business,,,,18/04/2024,,
288,Organization,Carson Group,Government,,,,02/05/2021,,
289,Organization,Thompson Ltd,Corporation,,,,28/05/2025,,
290,Organization,Carpenter Ltd,Foundation,,,,29/12/2022,,
291,Organization,"Evans, Lyons and Walker",Foundation,,,,08/10/2022,,
292,Organization,Ruiz-York,Government,,,,01/02/2023,,
293,Organization,Carr LLC,Small Business,,,,13/08/2021,,
294,Organization,Webb LLC,Foundation,,,,02/09/2024,,
295,Organization,Mccann-Noble,Corporation,,,,23/04/2021,,
296,Organization,"Cox, Hood and Johnson",Small Business,,,,28/12/2022,,
297,Organization,"Armstrong, Johnson and Wilson",Corporation,,,,05/06/2025,,
298,Organization,Ingram Group,Government,,,,29/04/2021,,
299,Organization,Moore-Brown,Small Business,,,,02/05/2024,,
300,Organization,"Bennett, Gonzalez and Hopkins",Foundation,,,,13/08/2022,,
301,Organization,Tyler-Rodriguez,Small Business,,,,27/04/2023,,
302,Organization,Schaefer Inc,Corporation,,,,17/04/2022,,
303,Organization,Jordan LLC,Government,,,,02/03/2023,,
304,Organization,"Taylor, Scott and Cooper",Small Business,,,,28/11/2023,,
305,Organization,Rice-Cline,Foundation,,,,03/03/2021,,
306,Organization,"Jensen, Jones and Pope",Small Business,,,,05/12/2024,,
307,Organization,Gray Inc,Foundation,,,,02/03/2024,,
308,Organization,"Carter, Brown and Khan",Corporation,,,,25/04/2023,,
309,Organization,Arias-Lowe,Foundation,,,,07/12/2023,,
310,Organization,"Reid, Hendricks and Rodriguez",Small Business,,,,21/02/2025,,
311,Organization,White-Avila,Corporation,,,,02/06/2022,,
312,Organization,"Harper, Cole and Cook",Corporation,,,,09/12/2022,,
313,Organization,"Berry, Vasquez and Quinn",Foundation,,,,06/06/2021,,
314,Organization,Castillo-Carey,Foundation,,,,06/04/2024,,
315,Organization,"Branch, Barker and Conner",Small Business,,,,17/03/2021,,
316,Organization,Watts Ltd,Foundation,,,,31/10/2021,,
317,Organization,Wilson-Rodriguez,Foundation,,,,26/12/2021,,
318,Organization,"Kennedy, Watkins and Jenkins",Small Business,,,,13/03/2024,,
319,Organization,Luna and Sons,Small Business,,,,15/03/2024,,
320,Organization,Patel-Jones,Corporation,,,,30/06/2024,,
321,Organization,Castro-Velez,Foundation,,,,14/01/2022,,
322,Organization,Chavez and Sons,Government,,,,27/01/2025,,
323,Organization,Lopez PLC,Government,,,,26/04/2024,,
324,Organization,Parker LLC,Government,,,,27/12/2022,,
325,Organization,"Burnett, Gregory and Boyd",Government,,,,07/05/2025,,
326,Organization,Robles-Bennett,Small Business,,,,23/05/2021,,
327,Organization,Parsons-Lewis,Small Business,,,,10/04/2022,,
328,Organization,"Brooks, Duran and Butler",Corporation,,,,19/03/2025,,
329,Organization,Roy-Howard,Government,,,,04/11/2022,,
330,Organization,"Collins, Williams and Fuller",Government,,,,22/12/2023,,
331,Organization,Wallace-Hopkins,Foundation,,,,11/03/2025,,
332,Organization,West-Green,Government,,,,18/08/2024,,
333,Organization,"Malone, Haynes and Lane",Corporation,,,,17/07/2023,,
334,Organization,"Pena, Foley and Kirk",Corporation,,,,23/09/2023,,
335,Organization,"Nunez, Jones and Foster",Corporation,,,,20/10/2021,,
336,Organization,Ramsey Group,Small Business,,,,23/06/2025,,
337,Organization,Rojas Inc,Small Business,,,,24/02/2022,,
338,Organization,Fuentes-Bruce,Government,,,,27/07/2024,,
339,Organization,Spencer-Williams,Government,,,,08/02/2024,,
340,Organization,West-Blackwell,Government,,,,08/10/2024,,
341,Organization,Arellano and Sons,Corporation,,,,13/07/2024,,
342,Organization,Olsen PLC,Government,,,,12/09/2021,,
343,Organization,"Johnson, Sanders and York",Corporation,,,,18/02/2025,,
344,Organization,Allen and Sons,Government,,,,22/09/2021,,
345,Organization,Mendez-Harris,Foundation,,,,27/01/2023,,
346,Organization,Lewis-Soto,Corporation,,,,18/04/2022,,
347,Organization,"Austin, Fernandez and Smith",Government,,,,29/04/2025,,
348,Organization,"Thomas, Hernandez and Brown",Foundation,,,,30/01/2022,,
349,Organization,Wilson-Edwards,Corporation,,,,19/03/2025,,
350,Organization,Jackson-Martin,Small Business,,,,03/03/2023,,
351,Organization,"Dennis, Myers and Cohen",Foundation,,,,27/10/2022,,
352,Organization,Mcgee Ltd,Small Business,,,,29/06/2022,,
353,Organization,Brown Inc,Foundation,,,,22/08/2021,,
354,Organization,Bush Ltd,Government,,,,25/05/2024,,
355,Organization,Cordova Ltd,Foundation,,,,17/02/2022,,
356,Organization,Lee Inc,Small Business,,,,08/10/2023,,
357,Organization,Stewart-Montes,Small Business,,,,12/04/2021,,
358,Organization,Brown-Reyes,Small Business,,,,30/08/2022,,
359,Organization,Wilson-Navarro,Government,,,,03/10/2023,,
360,Organization,Whitaker-Duran,Corporation,,,,27/02/2025,,
361,Organization,Weber Inc,Small Business,,,,26/11/2024,,
362,Organization,Merritt Ltd,Foundation,,,,24/06/2021,,
363,Organization,"Dixon, Kennedy and Thompson",Government,,,,11/10/2021,,
364,Organization,Banks Group,Corporation,,,,04/08/2022,,
365,Organization,"Martinez, Berger and Neal",Small Business,,,,19/01/2021,,
366,Organization,Dunn Ltd,Government,,,,08/01/2021,,
367,Organization,"Johnson, Thomas and Chen",Government,,,,30/01/2025,,
368,Organization,"Robertson, Jacobson and Ford",Foundation,,,,14/03/2023,,
369,Organization,Hahn-Lee,Small Business,,,,19/08/2022,,
370,Organization,"Cole, Lewis and Rojas",Small Business,,,,14/04/2021,,
371,Organization,"Rubio, Larsen and Daniels",Foundation,,,,15/01/2023,,
372,Organization,Black PLC,Government,,,,08/09/2022,,
373,Organization,Mcclain and Sons,Government,,,,24/06/2024,,
374,Organization,"Cook, Washington and May",Corporation,,,,28/09/2023,,
375,Organization,Reyes PLC,Government,,,,24/11/2024,,
376,Organization,Moses Inc,Small Business,,,,03/01/2022,,
377,Organization,Nelson-Sullivan,Foundation,,,,15/11/2022,,
378,Organization,"Weeks, Buck and Harper",Government,,,,05/04/2021,,
379,Organization,"Hammond, Reed and Frank",Government,,,,27/07/2021,,
380,Organization,Baker Ltd,Foundation,,,,23/01/2023,,
381,Organization,Martinez-Rios,Small Business,,,,12/09/2023,,
382,Organization,Jones Ltd,Government,,,,13/11/2022,,
383,Organization,"Jackson, Bradley and Rivas",Small Business,,,,03/05/2025,,
384,Organization,"Garcia, Jackson and Johnson",Foundation,,,,05/08/2023,,
385,Organization,"Hester, Flowers and Shaw",Government,,,,15/02/2025,,
386,Organization,Dickerson PLC,Small Business,,,,05/06/2025,,
387,Organization,Maxwell-Lambert,Corporation,,,,14/10/2024,,
388,Organization,Reynolds-Richardson,Foundation,,,,16/02/2024,,
389,Organization,Gibson-George,Foundation,,,,06/11/2023,,
390,Organization,"Franco, Parker and Keith",Corporation,,,,31/12/2023,,
391,Organization,Rodgers PLC,Corporation,,,,14/03/2024,,
392,Organization,"Thomas, Davis and Moran",Government,,,,28/07/2021,,
393,Organization,Lindsey LLC,Foundation,,,,21/07/2022,,
394,Organization,"Aguilar, Foster and Green",Small Business,,,,15/11/2023,,
395,Organization,"Larson, Mclaughlin and Thompson",Corporation,,,,03/12/2024,,
396,Organization,"Smith, Foster and Moss",Foundation,,,,22/03/2021,,
397,Organization,"Brown, Odom and Stephenson",Foundation,,,,14/06/2024,,
398,Organization,Sims Group,Corporation,,,,23/12/2021,,
399,Organization,Freeman Ltd,Corporation,,,,27/10/2023,,
400,Organization,"Mitchell, Villarreal and Pacheco",Small Business,,,,06/03/2022,,
401,Organization,Compton-Bailey,Small Business,,,,28/11/2022,,
402,Organization,Thomas Inc,Foundation,,,,11/06/2025,,
403,Organization,Hall Group,Small Business,,,,01/10/2023,,
404,Organization,"Green, Cruz and Mclaughlin",Small Business,,,,06/12/2022,,
405,Organization,"Olson, Holland and Castaneda",Small Business,,,,24/07/2023,,
406,Organization,Jordan-Decker,Small Business,,,,19/10/2024,,
407,Organization,Rogers-Zamora,Government,,,,20/07/2022,,
408,Organization,Walker Group,Corporation,,,,06/11/2024,,
409,Organization,"Hensley, Martinez and Wilcox",Corporation,,,,09/03/2023,,
410,Organization,Walker Ltd,Government,,,,01/11/2024,,
411,Organization,Smith LLC,Government,,,,22/07/2023,,
412,Organization,"Parks, Spence and Cortez",Small Business,,,,15/04/2022,,
413,Organization,Mullins-Davis,Foundation,,,,21/05/2025,,
414,Organization,Butler-Sanchez,Small Business,,,,06/03/2022,,
415,Organization,"Hernandez, Clark and Wong",Corporation,,,,22/06/2024,,
416,Organization,Ayala-Hernandez,Foundation,,,,19/01/2022,,
417,Organization,Stein-Vincent,Small Business,,,,24/02/2022,,
